query_id,family,facet,rank,source,source_id,doi,arxiv_id,title,authors,year,cited_by_count,abstract,primary_url,provenance
Q04,backward,lineage,32,root_bibliography,Qian:2026OperatorSpectroscopy,10.48550/arXiv.2605.11199,2605.11199,Operator Spectroscopy of Trained Lattice Samplers,"Qian, Moxian",2026,0,,https://arxiv.org/abs/2605.11199,current root bibliography ref 32
Q04,backward,lineage,33,root_bibliography,zhang2022pathintegralsamplerstochastic,,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,"Zhang, Qinsheng and Chen, Yongxin",2022,0,,https://arxiv.org/abs/2111.15141,current root bibliography ref 33
Q04,backward,lineage,34,root_bibliography,vargas2023denoisingdiffusionsamplers,,2302.13834,Denoising Diffusion Samplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,0,,https://arxiv.org/abs/2302.13834,current root bibliography ref 34
Q04,backward,lineage,35,root_bibliography,berner2024optimalcontrolperspectivediffusionbased,,2211.01364,An optimal control perspective on diffusion-based generative modeling,"Berner, Julius and Richter, Lorenz and Ullrich, Karen",2024,0,,https://arxiv.org/abs/2211.01364,current root bibliography ref 35
Q04,backward,lineage,36,root_bibliography,richter2024improvedsamplinglearneddiffusions,,2307.01198,Improved sampling via learned diffusions,"Richter, Lorenz and Berner, Julius",2024,0,,https://arxiv.org/abs/2307.01198,current root bibliography ref 36
Q04,backward,lineage,37,root_bibliography,vargas2025transportmeetsvariationalinference,,2307.01050,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,"Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N \""u sken, Nikolas",2024,0,,https://arxiv.org/abs/2307.01050,current root bibliography ref 37
Q04,backward,lineage,38,root_bibliography,Albergo:2024trn,,2410.02711,NETS: A Non-Equilibrium Transport Sampler,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,0,,https://arxiv.org/abs/2410.02711,current root bibliography ref 38
Q04,backward,lineage,39,root_bibliography,ColemanNoll1963,10.1007/BF01262690,,The Thermodynamics of Elastic Materials with Heat Conduction and Viscosity,"Coleman, Bernard D. and Noll, Walter",1963,0,,,current root bibliography ref 39
Q04,backward,lineage,40,root_bibliography,Kleidon2010,10.1098/rstb.2010.0018,2010.0018,Maximum Entropy Production in Environmental and Ecological Systems,"Kleidon, Axel",2010,0,,https://arxiv.org/abs/2010.0018,current root bibliography ref 40
Q04,backward,lineage,41,root_bibliography,Dyke2010,10.3390/e12030613,,The Maximum Entropy Production Principle: Its Theoretical Foundations and Applications to the Earth System,"Dyke, James and Kleidon, Axel",2010,0,,,current root bibliography ref 41
Q04,backward,lineage,42,root_bibliography,Skinner2021,10.1073/pnas.2024300118,,Improved Bounds on Entropy Production in Living Systems,"Skinner, Dominic J. and Dunkel, J \""o rn",2021,0,,,current root bibliography ref 42
Q04,backward,lineage,43,root_bibliography,Karbowski2024,10.3390/e26090761,,Information Thermodynamics: From Physics to Neuroscience,"Karbowski, Jan",2024,0,,,current root bibliography ref 43
Q04,backward,lineage,44,root_bibliography,Jakimowicz2020,10.3390/e22040452,,The Role of Entropy in the Development of Economics,"Jakimowicz, Aleksander",2020,0,,,current root bibliography ref 44
Q04,backward,lineage,45,root_bibliography,Purvis2019,10.3390/e21010056,,Entropy and Its Application to Urban Systems,"Purvis, Benjamin and Mao, Yong and Robinson, Darren",2019,0,,,current root bibliography ref 45
Q04,backward,lineage,46,root_bibliography,Landauer1961,10.1147/rd.53.0183,,Irreversibility and Heat Generation in the Computing Process,"Landauer, R.",1961,0,,,current root bibliography ref 46
Q04,backward,lineage,47,root_bibliography,SagawaUeda2008,10.1103/PhysRevLett.100.080403,,Second Law of Thermodynamics with Discrete Quantum Feedback Control,"Sagawa, Takahiro and Ueda, Masahito",2008,0,,,current root bibliography ref 47
